,z-nm,x-nm,y-nm,Trace_ID,chr,start,stop,color-channel,FOV_ID
0,3475.117426335105,46667.627176348025,20603.913146851006,3_129,chr3,34601078,34606078,750nm,0
1,,,,3_129,chr3,34606078,34611078,647nm,0
2,,,,3_129,chr3,34611078,34616078,561nm,0
3,,,,3_129,chr3,34616078,34621078,750nm,0
4,3402.3540463146887,46769.88292608957,20478.445466146914,3_129,chr3,34621078,34626078,647nm,0
5,,,,3_129,chr3,34626078,34631078,561nm,0
6,3427.6028393214406,46877.571609222025,20702.088504077514,3_129,chr3,34631078,34636078,750nm,0
7,3501.2548729968785,46880.68249220532,20611.601539081337,3_129,chr3,34636078,34641078,647nm,0
8,3501.477103802763,46858.14766589422,20626.02427672462,3_129,chr3,34641078,34646078,561nm,0
9,3143.1324466877422,46817.36082454296,20752.03049292331,3_129,chr3,34646078,34651078,750nm,0
10,3145.967597801369,46631.587648660614,20807.436919328247,3_129,chr3,34651078,34656078,647nm,0
11,3177.551816664853,46604.421806208535,20740.124615235836,3_129,chr3,34656078,34661078,561nm,0
12,3510.615367232935,46884.259575548975,20710.778208162275,3_129,chr3,34661078,34666078,750nm,0
13,3444.5607154268164,46872.941169074125,20700.76870635685,3_129,chr3,34666078,34671078,647nm,0
14,3403.4522404720888,46838.616738367076,20673.74538243903,3_129,chr3,34671078,34676078,561nm,0
15,3506.931667866567,46877.288480194184,20798.696514083127,3_129,chr3,34676078,34681078,750nm,0
16,3457.806397651346,46918.653340597506,20838.358957762703,3_129,chr3,34681078,34686078,647nm,0
17,3368.303308660542,46860.52411813025,20751.22558135782,3_129,chr3,34686078,34691078,561nm,0
18,,,,3_129,chr3,34691078,34696078,750nm,0
19,3226.6340856651846,46875.128653473315,20736.764944466035,3_129,chr3,34696078,34701078,647nm,0
20,3394.2163242709007,46920.767028424154,20684.780551761378,3_129,chr3,34701078,34706078,561nm,0
21,3302.6544252558115,46918.32528294055,20765.521866418734,3_129,chr3,34706078,34711078,750nm,0
22,3548.3921215740097,47179.77502388944,21002.534200007565,3_129,chr3,34711078,34716078,647nm,0
23,3326.2106790895314,46823.66289531734,20649.668209015876,3_129,chr3,34716078,34721078,561nm,0
24,3272.785367189161,46895.602470627986,20572.933828616537,3_129,chr3,34721078,34726078,750nm,0
25,,,,3_129,chr3,34726078,34731078,647nm,0
26,3349.621237398906,47121.262737518475,20842.078192453802,3_129,chr3,34726078,34726078,561nm,0
27,3127.951899626238,46708.1590860309,20538.65320433974,3_129,chr3,34731078,34736078,750nm,0
